,artist,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album,track_id
419,Florence + The Machine,Various Storms & Saints,0.361,0.318,-6.791,0.0317,0.893,0.0,0.0984,0.168,120.53,"How Big, How Blue, How Beautiful (Deluxe)",015QxjqYIZ7eKTJYjDPC5n
420,Florence + The Machine,Long & Lost,0.384,0.423,-11.88,0.0579,0.726,1.47e-05,0.119,0.294,82.405,"How Big, How Blue, How Beautiful (Deluxe)",55zTc30BLHsy3HJOspZ96K
421,Adrianne Lenker,terminal paradise,0.337,0.139,-14.928,0.033,0.947,0.304,0.0997,0.105,132.452,abysskiss,1WBavEwIws3xdg7GVDUZWp
422,Crumb,Locket,0.393,0.481,-10.462,0.0273,0.758,0.73,0.0869,0.0763,98.462,Locket,0bxcUgWlOURkU6lZt4zog0
423,ROSALÍA,I See A Darkness,0.486,0.15,-13.15,0.0389,0.945,1.01e-05,0.0983,0.125,111.468,Los Ángeles,7c6ivZorDH6A98fBNFmCjX
424,Songs: Ohia,Farewell Transmission,0.431,0.538,-8.147,0.0302,0.0908,0.0179,0.0817,0.47,148.102,Magnolia Electric Co. (Deluxe Edition),4fkAWGCbxNizyNwsHlrajH
425,The Beatles,Julia - Remastered 2009,0.512,0.0953,-16.082,0.0304,0.828,0.000268,0.117,0.193,134.706,The Beatles (Remastered),5FnpXVgDOk2sLT58qM22Of
426,Radiohead,All I Need,0.668,0.477,-8.709,0.0358,0.517,0.446,0.139,0.0966,88.005,In Rainbows,51ygW389BW4Dut3B69pSwc
427,Florence + The Machine,The End Of Love,0.254,0.0877,-9.996,0.0382,0.805,2.9e-05,0.137,0.0907,68.991,High As Hope,1tpkN6z0Zd3wphAd3DASDX
428,Various Artists,Rosyln,0.329,0.277,-13.111,0.0302,0.971,0.024,0.0971,0.121,159.719,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),4k7x3QKrc3h3U0Viqk0uop
429,James Blake,The Wilhelm Scream,0.546,0.291,-12.252,0.138,0.784,0.931,0.0894,0.363,169.959,James Blake,688DZF6e1MH5Uf409dwaHm
430,This Mortal Coil,Another Day (Remastered),0.0673,0.28,-12.554,0.0356,0.651,0.00353,0.235,0.0658,69.759,It'll End In Tears (Remastered),1cOiIqs1uioMhrX9aVRlC8
431,Zbigniew Preisner,Love,0.165,0.0763,-21.405,0.0363,0.65,0.637,0.0841,0.0358,86.046,Requiem for My Friend,1NPVu72tpsR1e37a0nL5Dr
432,Fleet Foxes,Your Protector,0.539,0.547,-7.848,0.0269,0.545,0.00533,0.0737,0.138,99.959,Fleet Foxes,7pI54YxwZOSUa3yPNq8USf
433,Henryk Górecki,II. Lento e largo—Tranquillissimo,0.0811,0.0743,-22.283,0.0444,0.978,0.137,0.0535,0.0344,76.248,Henryk Górecki: Symphony No. 3 (Symphony Of Sorrowful Songs),1pqvXte384FwoZCta30UDV
434,Lingua Ignota,FRAGRANT IS MY MANY FLOWER'D CROWN,0.143,0.271,-12.951,0.0365,0.622,0.183,0.0955,0.0489,78.329,CALIGULA,3DgH8JVn8baGEGi0PqOnFQ
435,Harry Styles,Falling,0.567,0.267,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,Fine Line,1ZMiCix7XSAbfAJlEZWMCp
436,The Dumplings,Piękne dłonie,0.472,0.595,-6.79,0.0287,0.774,0.488,0.157,0.118,136.044,Sea You Later (Edycja Specjalna),3uUTuGgyJNAYhMIQZPDvgq
