,artistName,trackName,plays_count,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
673,Yung Lean,Muddy Sea,8,0.767,0.472,-9.341,0.0884,0.837,1.48e-06,0.0823,0.481,125.027
674,Pejzaż,Odeszłaś Już,8,0.522,0.622,-9.559,0.0376,0.0558,0.203,0.659,0.474,85.0
675,Pejzaż,Odeszłaś Już,8,0.522,0.622,-9.559,0.0376,0.0558,0.203,0.659,0.474,85.0
676,Mata,Szafir,8,0.772,0.604,-8.017,0.101,0.374,5.1e-05,0.164,0.819,139.945
677,Mata,Szafir,8,0.772,0.604,-8.017,0.101,0.374,5.1e-05,0.164,0.819,139.945
678,Tame Impala,Breathe Deeper,8,0.741,0.725,-5.618,0.04,0.00715,0.0,0.115,0.577,104.985
679,Tame Impala,Breathe Deeper,8,0.741,0.725,-5.618,0.04,0.00715,0.0,0.115,0.577,104.985
680,Avi,Warsaw Vice,8,0.784,0.754,-6.228,0.314,0.0286,1.83e-06,0.0763,0.368,97.001
681,Avi,Warsaw Vice,8,0.784,0.754,-6.228,0.314,0.0286,1.83e-06,0.0763,0.368,97.001
682,slowthai,Crack,8,0.789,0.748,-6.77,0.439,0.342,0.0,0.278,0.715,141.373
683,slowthai,Crack,8,0.789,0.748,-6.77,0.439,0.342,0.0,0.278,0.715,141.373
684,Jamie xx,Obvs,8,0.643,0.37,-12.805,0.0365,0.735,0.927,0.0831,0.468,76.01
685,Jamie xx,Obvs,8,0.643,0.37,-12.805,0.0365,0.735,0.927,0.0831,0.468,76.01
686,Toro y Moi,The Medium,8,0.285,0.906,-5.224,0.225,0.00257,0.666,0.489,0.494,90.555
687,Toro y Moi,The Medium,8,0.285,0.906,-5.224,0.225,0.00257,0.666,0.489,0.494,90.555
688,jonatan leandoer96,Vår Sång,8,0.506,0.376,-12.846,0.0284,0.734,0.506,0.128,0.362,129.852
689,jonatan leandoer96,Vår Sång,8,0.506,0.376,-12.846,0.0284,0.734,0.506,0.128,0.362,129.852
690,Arca,Incendio,8,0.706,0.778,-7.529,0.248,0.0116,7.63e-05,0.255,0.512,129.688
691,Arca,Incendio,8,0.706,0.778,-7.529,0.248,0.0116,7.63e-05,0.255,0.512,129.688
692,Freddie Gibbs,"Something to Rap About (feat. Tyler, The Creator)",8,0.406,0.524,-11.071,0.255,0.469,3.95e-06,0.117,0.412,56.046
693,Freddie Gibbs,"Something to Rap About (feat. Tyler, The Creator)",8,0.406,0.524,-11.071,0.255,0.469,3.95e-06,0.117,0.412,56.046
694,Toro y Moi,Déjà Vu,8,0.642,0.507,-7.301,0.0299,0.189,0.00168,0.586,0.583,113.131
695,Toro y Moi,Déjà Vu,8,0.642,0.507,-7.301,0.0299,0.189,0.00168,0.586,0.583,113.131
696,Clairo,Amoeba,8,0.739,0.487,-11.518,0.0271,0.784,0.0299,0.1,0.696,111.005
697,Clairo,Amoeba,8,0.739,0.487,-11.518,0.0271,0.784,0.0299,0.1,0.696,111.005
698,Little Simz,"I Love You, I Hate You",8,0.531,0.77,-6.665,0.371,0.133,4.28e-06,0.169,0.636,119.782
699,Little Simz,"I Love You, I Hate You",8,0.531,0.77,-6.665,0.371,0.133,4.28e-06,0.169,0.636,119.782
700,070 Shake,Wine & Spirits,8,0.279,0.41,-7.708,0.041,0.26,0.0,0.0985,0.286,69.704
701,070 Shake,Wine & Spirits,8,0.279,0.41,-7.708,0.041,0.26,0.0,0.0985,0.286,69.704
702,Pejzaż,"Noc, Chłodny Szept",8,0.32,0.272,-20.077,0.0303,0.915,0.943,0.121,0.219,48.954
703,Pejzaż,"Noc, Chłodny Szept",8,0.32,0.272,-20.077,0.0303,0.915,0.943,0.121,0.219,48.954
704,Toro y Moi,Fax Shadow,8,0.427,0.784,-12.706,0.62,0.0934,0.0221,0.252,0.0719,83.216
705,Toro y Moi,Fax Shadow,8,0.427,0.784,-12.706,0.62,0.0934,0.0221,0.252,0.0719,83.216
706,Pusha T,Call My Bluff,8,0.681,0.672,-4.976,0.295,0.206,0.0,0.202,0.29,82.044
707,Pusha T,Call My Bluff,8,0.681,0.672,-4.976,0.295,0.206,0.0,0.202,0.29,82.044
708,Pusha T,Just So You Remember,8,0.613,0.691,-5.899,0.296,0.141,0.0,0.11,0.451,170.437
709,Pusha T,Just So You Remember,8,0.613,0.691,-5.899,0.296,0.141,0.0,0.11,0.451,170.437
710,Drake,Over My Dead Body,8,0.513,0.56,-10.343,0.292,0.766,2.76e-06,0.165,0.554,186.09
711,Drake,Over My Dead Body,8,0.513,0.56,-10.343,0.292,0.766,2.76e-06,0.165,0.554,186.09
712,Pejzaż,Jesienna Sonata,8,0.45,0.383,-12.549,0.0322,0.946,0.946,0.132,0.41,52.942
713,Pejzaż,Jesienna Sonata,8,0.45,0.383,-12.549,0.0322,0.946,0.946,0.132,0.41,52.942
714,Idris Muhammad,Could Heaven Ever Be Like This,8,0.755,0.842,-7.293,0.129,0.388,0.541,0.105,0.798,123.203
715,Idris Muhammad,Could Heaven Ever Be Like This,8,0.755,0.842,-7.293,0.129,0.388,0.541,0.105,0.798,123.203
716,Mac Miller,We (feat. CeeLo Green),8,0.644,0.631,-9.993,0.0597,0.782,0.0799,0.12,0.616,138.846
717,Mac Miller,We (feat. CeeLo Green),8,0.644,0.631,-9.993,0.0597,0.782,0.0799,0.12,0.616,138.846
718,Arca,Bruja,8,0.431,0.663,-8.108,0.213,0.002,0.0,0.813,0.431,93.607
719,Arca,Bruja,8,0.431,0.663,-8.108,0.213,0.002,0.0,0.813,0.431,93.607
720,Thundercat,Walk On By,8,0.703,0.267,-14.849,0.356,0.076,1.93e-06,0.13,0.449,75.061
721,Thundercat,Walk On By,8,0.703,0.267,-14.849,0.356,0.076,1.93e-06,0.13,0.449,75.061
722,Yung Lean,Blinded,8,0.512,0.644,-5.702,0.0752,0.129,0.0,0.0793,0.3,124.05
723,Yung Lean,Blinded,8,0.512,0.644,-5.702,0.0752,0.129,0.0,0.0793,0.3,124.05
724,Trippie Redd,Miss The Rage (feat. Playboi Carti),8,0.581,0.877,-4.938,0.114,0.0151,0.0,0.826,0.353,77.006
725,Trippie Redd,Miss The Rage (feat. Playboi Carti),8,0.581,0.877,-4.938,0.114,0.0151,0.0,0.826,0.353,77.006
726,TONFA,HIT (wersja rozszerzona),8,0.595,0.961,-5.792,0.123,0.134,0.000621,0.319,0.68,125.054
727,TONFA,HIT (wersja rozszerzona),8,0.595,0.961,-5.792,0.123,0.134,0.000621,0.319,0.68,125.054
728,TONFA,ciach,8,0.504,0.715,-6.466,0.203,0.288,0.000405,0.11,0.649,164.04
729,TONFA,ciach,8,0.504,0.715,-6.466,0.203,0.288,0.000405,0.11,0.649,164.04
730,Mata,Blok (skit),8,0.465,0.298,-17.181,0.229,0.716,0.000419,0.118,0.0389,122.89
731,Mata,Blok (skit),8,0.465,0.298,-17.181,0.229,0.716,0.000419,0.118,0.0389,122.89
732,Mata,Blok (skit),8,0.465,0.298,-17.181,0.229,0.716,0.000419,0.118,0.0389,122.89
733,Mata,Blok (skit),8,0.465,0.298,-17.181,0.229,0.716,0.000419,0.118,0.0389,122.89
734,Mata,Blok,7,0.465,0.298,-17.181,0.229,0.716,0.000419,0.118,0.0389,122.89
735,Mata,Blok,7,0.465,0.298,-17.181,0.229,0.716,0.000419,0.118,0.0389,122.89
736,Mata,Blok,7,0.465,0.298,-17.181,0.229,0.716,0.000419,0.118,0.0389,122.89
737,Mata,Blok,7,0.465,0.298,-17.181,0.229,0.716,0.000419,0.118,0.0389,122.89
738,Bad Bunny,Moscow Mule,8,0.715,0.52,-11.783,0.0947,0.247,0.861,0.102,0.345,159.98
739,Bad Bunny,Moscow Mule,8,0.715,0.52,-11.783,0.0947,0.247,0.861,0.102,0.345,159.98
740,Sampha,(No One Knows Me) Like the Piano,8,0.62,0.199,-13.788,0.0344,0.976,0.00178,0.107,0.179,129.01
741,Sampha,(No One Knows Me) Like the Piano,8,0.62,0.199,-13.788,0.0344,0.976,0.00178,0.107,0.179,129.01
742,Playboi Carti,Shoota (feat. Lil Uzi Vert),7,0.674,0.617,-9.68,0.222,0.185,0.0,0.106,0.451,153.103
743,Playboi Carti,Shoota (feat. Lil Uzi Vert),7,0.674,0.617,-9.68,0.222,0.185,0.0,0.106,0.451,153.103
744,Big Thief,Simulation Swarm,7,0.703,0.578,-9.103,0.0728,0.446,0.0024,0.102,0.67,105.204
745,Big Thief,Simulation Swarm,7,0.703,0.578,-9.103,0.0728,0.446,0.0024,0.102,0.67,105.204
746,Jakub Grabowski,Mój przykry lajf (Jakub On Stage),7,0.584,0.532,-5.77,0.296,0.342,0.0,0.562,0.416,173.913
